branch_id,branch_name,date,total_deposits,total_loans,new_accounts,closed_accounts,net_profit,operating_expenses
001,Lagos Island Branch,2024-03-01,1543200000,892500000,47,12,18543000,8732000
001,Lagos Island Branch,2024-03-01,1543200000,892500000,47,12,18543000,8732000
001,Lagos Island Branch,2024-03-01,1543200000,892500000,47,12,18543000,8732000
002,Ikeja GRA Branch,2024-03-01,987600000,623400000,39,9,15234000,6543000
002,IKEJA GRA BRANCH,2024-03-01,987600000,623400000,39,9,15234000,6543000
003,Victoria Island Branch,2024-03-01,2145600000,1345600000,54,11,29876000,12894000
004,Abuja Central Branch,2024-03-01,1234500000,765400000,43,10,16789000,7234000
005,Port Harcourt Main,2024-03-01,876500000,543200000,36,8,12345000,5678000
006,Kano Central Branch,2024-03-01,654300000,412300000,29,7,9876000,4456000
007,,2024-03-01,234500000,156700000,15,3,3456000,1987000
001,Lagos Island Branch,2024-03-02,1567800000,895200000,52,8,19215000,8910000
002,Ikeja GRA Branch,2024-03-02,992100000,,42,7,15892000,6678000
003,Victoria Island Branch,2024-03-02,2167800000,1352400000,61,9,31245000,13156000
004,Abuja Central Branch,2024-03-02,1245600000,771200000,48,6,17543000,7389000
005,Port Harcourt Main,2024-03-02,882100000,549800000,39,5,12987000,5793000
006,Kano Central Branch,2024-03-02,663400000,418900000,31,4,10345000,4556000
007,Onitsha Main Branch,2024-03-02,245600000,163400000,17,4,3890000,2145000
001,Lagos Island Branch,2024-03-03,1589200000,901300000,38,5,20342000,9125000
002,Ikeja GRA Branch,2024-03-03,1004500000,634500000,35,4,16543000,6812000
003,Victoria Island Branch,2024-03-03,2198700000,1367800000,49,6,32456000,13423000
004,Abuja Central Branch,2024-03-03,1267800000,783400000,41,5,18345000,7543000
005,Port Harcourt Main,2024-03-03,891200000,558900000,32,3,13456000,5912000
006,Kano Central Branch,2024-03-03,672300000,427800000,27,2,10892000,4654000
007,Onitsha Main Branch,2024-03-03,256700000,171200000,19,2,4123000,2234000
001,Lagos Island Branch,2024-03-04,1623400000,912800000,65,15,22178000,9341000
001,Lagos Island Branch,2024-03-04,1623400000,912800000,65,15,22178000,9341000
002,Ikeja GRA Branch,2024-03-04,1023400000,645600000,58,13,17895000,6956000
003,Victoria Island Branch,2024-03-04,2234500000,1389200000,78,17,34567000,13689000
004,Abuja Central Branch,2024-03-04,1298700000,798900000,67,14,19876000,7698000
005,Port Harcourt Main,2024-03-04,905600000,573400000,54,11,14567000,6034000
006,Kano Central Branch,2024-03-04,689000000,439000000,46,9,11987000,4753000
007,Onitsha Main Branch,2024-03-04,267800000,178900000,22,5,4567000,2345000
001,Lagos Island Branch,2024-03-05,1658700000,925600000,71,18,23456000,9567000
002,Ikeja GRA Branch,2024-03-05,1045600000,658900000,63,16,18932000,7103000
003,Victoria Island Branch,2024-03-05,2278900000,1412300000,85,20,35678000,13956000
004,Abuja Central Branch,2024-03-05,1323400000,812300000,72,19,20987000,7854000
005,Port Harcourt Main,2024-03-05,923400000,589000000,59,15,15678000,6156000
006,Kano Central Branch,2024-03-05,703400000,452100000,51,13,12894000,4852000
007,Onitsha Main Branch,2024-03-05,278900000,186700000,25,6,4987000,2456000
008,Enugu Main Branch,03-05-2024,312400000,198700000,21,4,5234000,2876000
009,Benin City Branch,05/03/2024,298700000,187600000,18,3,4876000,2654000
010,Ibadan Main Branch,2024-03-05,345600000,223400000,24,5,5678000,3123000
001,Lagos Island Branch,2024-03-06,1684500000,938700000,68,14,24567000,9789000
002,Ikeja GRA Branch,2024-03-06,1067800000,672300000,66,17,20123000,7256000
003,Victoria Island Branch,2024-03-06,2314500000,1437800000,91,22,36890000,14234000
004,Abuja Central Branch,2024-03-06,1348900000,826700000,75,21,22123000,8012000
005,Port Harcourt Main,2024-03-06,941200000,604500000,62,18,16890000,6289000
006,Kano Central Branch,2024-03-06,718900000,465400000,54,16,13987000,4956000
007,Onitsha Main Branch,2024-03-06,289700000,194500000,28,7,5345000,2567000
008,Enugu Main Branch,2024-03-06,324500000,207800000,26,5,5890000,2987000
009,Benin City Branch,2024-03-06,312300000,196700000,23,4,5768000,2789000
010,Ibadan Main Branch,2024-03-06,356700000,231200000,29,6,6234000,3245000
001,Lagos Island Branch,2024-03-07,1723400000,952300000,74,19,25789000,10012000
002,Ikeja GRA Branch,2024-03-07,1091200000,689000000,72,21,21345000,7412000
003,Victoria Island Branch,2024-03-07,2356700000,1468900000,97,25,38123000,14512000
004,Abuja Central Branch,2024-03-07,1374500000,841200000,81,24,23456000,8178000
005,Port Harcourt Main,2024-03-07,959800000,620100000,68,22,18123000,6423000
006,Kano Central Branch,2024-03-07,734500000,479800000,59,20,15123000,5067000
007,Onitsha Main Branch,2024-03-07,301200000,203400000,31,8,5678000,2678000
008,Enugu Main Branch,2024-03-07,336700000,216500000,29,6,6234000,3123000
009,Benin City Branch,2024-03-07,325600000,205600000,26,5,5987000,2897000
010,Ibadan Main Branch,2024-03-07,367800000,240100000,32,7,6789000,3367000
001,Lagos Island Branch,2024-03-08,1754300000,968900000,77,21,26987000,10234000
002,Ikeja GRA Branch,2024-03-08,1123400000,705600000,75,23,22567000,7568000
003,Victoria Island Branch,2024-03-08,2398700000,1501200000,102,28,39567000,14789000
004,Abuja Central Branch,2024-03-08,1401200000,856700000,86,26,24789000,8345000
005,Port Harcourt Main,2024-03-08,978900000,635600000,71,25,19345000,6567000
006,Kano Central Branch,2024-03-08,751200000,493400000,64,23,16234000,5189000
007,Onitsha Main Branch,2024-03-08,312300000,211200000,34,9,5890000,2789000
008,Enugu Main Branch,2024-03-08,348900000,225600000,32,7,6567000,3256000
009,Benin City Branch,2024-03-08,338900000,214500000,29,6,6234000,3012000
010,Ibadan Main Branch,2024-03-08,378900000,249800000,35,8,7123000,3489000
011,Abeokuta Branch,2024-03-08,287600000,176500000,22,4,5234000,2678000
001,Lagos Island Branch,2024-03-09,1789500000,985600000,45,11,14567000,8123000
002,Ikeja GRA Branch,2024-03-09,1156700000,722300000,42,9,12345000,6456000
003,Victoria Island Branch,2024-03-09,2445600000,1534500000,58,15,21234000,11234000
004,Abuja Central Branch,2024-03-09,1434500000,872300000,51,13,13456000,7234000
005,Port Harcourt Main,2024-03-09,998700000,651200000,39,11,11234000,5345000
006,Kano Central Branch,2024-03-09,768900000,507800000,36,9,10345000,4234000
007,Onitsha Main Branch,2024-03-09,323400000,220100000,25,5,4567000,2234000
008,Enugu Main Branch,2024-03-09,361200000,234500000,23,4,5123000,2456000
009,Benin City Branch,2024-03-09,352300000,223400000,21,3,4890000,2345000
010,Ibadan Main Branch,2024-03-09,390100000,259800000,27,5,6234000,2678000
011,Abeokuta Branch,2024-03-09,298700000,185600000,18,3,4567000,1890000
001,Lagos Island Branch,2024-03-10,1823400000,1002300000,39,8,12345000,7568000
002,Ikeja GRA Branch,2024-03-10,1189200000,739000000,35,6,11234000,6012000
