branch_id,branch_name,record_loaded_at
001,LAGOS ISLAND BRANCH,2025-12-21 17:55:00.848714+01
002,IKEJA GRA BRANCH,2025-12-21 17:55:00.848714+01
003,VICTORIA ISLAND BRANCH,2025-12-21 17:55:00.848714+01
004,ABUJA CENTRAL BRANCH,2025-12-21 17:55:00.848714+01
005,PORT HARCOURT MAIN,2025-12-21 17:55:00.848714+01
006,KANO CENTRAL BRANCH,2025-12-21 17:55:00.848714+01
007,ONITSHA MAIN BRANCH,2025-12-21 17:55:00.848714+01
007,UNKNOWN,2025-12-21 17:55:00.848714+01
008,ENUGU MAIN BRANCH,2025-12-21 17:55:00.848714+01
009,BENIN CITY BRANCH,2025-12-21 17:55:00.848714+01
010,IBADAN MAIN BRANCH,2025-12-21 17:55:00.848714+01
011,ABEOKUTA BRANCH,2025-12-21 17:55:00.848714+01
012,UYO MAIN BRANCH,2025-12-21 17:55:00.848714+01
013,JOS CENTRAL BRANCH,2025-12-21 17:55:00.848714+01
014,KADUNA BRANCH,2025-12-21 17:55:00.848714+01
015,MAIDUGURI BRANCH,2025-12-21 17:55:00.848714+01
016,SOKOTO BRANCH,2025-12-21 17:55:00.848714+01
