date_id,full_date,year,quarter,month,month_name,month_short,day,day_of_week,day_name,is_weekend,fiscal_quarter,record_loaded_at
2024-01-01,2024-01-01,2024,1,1,January  ,Jan,1,1,Monday   ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-02,2024-01-02,2024,1,1,January  ,Jan,2,2,Tuesday  ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-03,2024-01-03,2024,1,1,January  ,Jan,3,3,Wednesday,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-04,2024-01-04,2024,1,1,January  ,Jan,4,4,Thursday ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-05,2024-01-05,2024,1,1,January  ,Jan,5,5,Friday   ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-06,2024-01-06,2024,1,1,January  ,Jan,6,6,Saturday ,true,Q1,2025-12-21 17:55:00.587726+01
2024-01-07,2024-01-07,2024,1,1,January  ,Jan,7,0,Sunday   ,true,Q1,2025-12-21 17:55:00.587726+01
2024-01-08,2024-01-08,2024,1,1,January  ,Jan,8,1,Monday   ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-09,2024-01-09,2024,1,1,January  ,Jan,9,2,Tuesday  ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-10,2024-01-10,2024,1,1,January  ,Jan,10,3,Wednesday,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-11,2024-01-11,2024,1,1,January  ,Jan,11,4,Thursday ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-12,2024-01-12,2024,1,1,January  ,Jan,12,5,Friday   ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-13,2024-01-13,2024,1,1,January  ,Jan,13,6,Saturday ,true,Q1,2025-12-21 17:55:00.587726+01
2024-01-14,2024-01-14,2024,1,1,January  ,Jan,14,0,Sunday   ,true,Q1,2025-12-21 17:55:00.587726+01
2024-01-15,2024-01-15,2024,1,1,January  ,Jan,15,1,Monday   ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-16,2024-01-16,2024,1,1,January  ,Jan,16,2,Tuesday  ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-17,2024-01-17,2024,1,1,January  ,Jan,17,3,Wednesday,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-18,2024-01-18,2024,1,1,January  ,Jan,18,4,Thursday ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-19,2024-01-19,2024,1,1,January  ,Jan,19,5,Friday   ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-20,2024-01-20,2024,1,1,January  ,Jan,20,6,Saturday ,true,Q1,2025-12-21 17:55:00.587726+01
2024-01-21,2024-01-21,2024,1,1,January  ,Jan,21,0,Sunday   ,true,Q1,2025-12-21 17:55:00.587726+01
2024-01-22,2024-01-22,2024,1,1,January  ,Jan,22,1,Monday   ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-23,2024-01-23,2024,1,1,January  ,Jan,23,2,Tuesday  ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-24,2024-01-24,2024,1,1,January  ,Jan,24,3,Wednesday,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-25,2024-01-25,2024,1,1,January  ,Jan,25,4,Thursday ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-26,2024-01-26,2024,1,1,January  ,Jan,26,5,Friday   ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-27,2024-01-27,2024,1,1,January  ,Jan,27,6,Saturday ,true,Q1,2025-12-21 17:55:00.587726+01
2024-01-28,2024-01-28,2024,1,1,January  ,Jan,28,0,Sunday   ,true,Q1,2025-12-21 17:55:00.587726+01
2024-01-29,2024-01-29,2024,1,1,January  ,Jan,29,1,Monday   ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-30,2024-01-30,2024,1,1,January  ,Jan,30,2,Tuesday  ,false,Q1,2025-12-21 17:55:00.587726+01
2024-01-31,2024-01-31,2024,1,1,January  ,Jan,31,3,Wednesday,false,Q1,2025-12-21 17:55:00.587726+01
2024-02-01,2024-02-01,2024,1,2,February ,Feb,1,4,Thursday ,false,Q1,2025-12-21 17:55:00.587726+01
2024-02-02,2024-02-02,2024,1,2,February ,Feb,2,5,Friday   ,false,Q1,2025-12-21 17:55:00.587726+01
2024-02-03,2024-02-03,2024,1,2,February ,Feb,3,6,Saturday ,true,Q1,2025-12-21 17:55:00.587726+01
2024-02-04,2024-02-04,2024,1,2,February ,Feb,4,0,Sunday   ,true,Q1,2025-12-21 17:55:00.587726+01
2024-02-05,2024-02-05,2024,1,2,February ,Feb,5,1,Monday   ,false,Q1,2025-12-21 17:55:00.587726+01
2024-02-06,2024-02-06,2024,1,2,February ,Feb,6,2,Tuesday  ,false,Q1,2025-12-21 17:55:00.587726+01
2024-02-07,2024-02-07,2024,1,2,February ,Feb,7,3,Wednesday,false,Q1,2025-12-21 17:55:00.587726+01
2024-02-08,2024-02-08,2024,1,2,February ,Feb,8,4,Thursday ,false,Q1,2025-12-21 17:55:00.587726+01
2024-02-09,2024-02-09,2024,1,2,February ,Feb,9,5,Friday   ,false,Q1,2025-12-21 17:55:00.587726+01
2024-02-10,2024-02-10,2024,1,2,February ,Feb,10,6,Saturday ,true,Q1,2025-12-21 17:55:00.587726+01
2024-02-11,2024-02-11,2024,1,2,February ,Feb,11,0,Sunday   ,true,Q1,2025-12-21 17:55:00.587726+01
2024-02-12,2024-02-12,2024,1,2,February ,Feb,12,1,Monday   ,false,Q1,2025-12-21 17:55:00.587726+01
2024-02-13,2024-02-13,2024,1,2,February ,Feb,13,2,Tuesday  ,false,Q1,2025-12-21 17:55:00.587726+01
2024-02-14,2024-02-14,2024,1,2,February ,Feb,14,3,Wednesday,false,Q1,2025-12-21 17:55:00.587726+01
