branch_id,performance_date,total_deposits,total_loans,new_accounts,closed_accounts,net_profit,operating_expenses,loan_to_deposit_ratio,profit_per_new_account
001,2024-03-08,1754300000,968900000,77,21,26987000,10234000,0.55230006270307245055,350480.519480519481
001,2024-03-12,1956700000,1091200000,88,27,30123000,11234000,0.55767363417999693361,342306.818181818182
001,2024-03-04,3246800000,1825600000,130,30,44356000,18682000,0.56227670321547369718,341200.000000000000
001,2024-03-07,1723400000,952300000,74,19,25789000,10012000,0.55257050017407450389,348500.000000000000
001,2024-03-05,1658700000,925600000,71,18,23456000,9567000,0.55802737083257973111,330366.197183098592
001,2024-03-02,1567800000,895200000,52,8,19215000,8910000,0.57099119785686949866,369519.230769230769
001,2024-03-10,1823400000,1002300000,39,8,12345000,7568000,0.54968739717012175058,316538.461538461538
001,2024-03-01,4629600000,2677500000,141,36,55629000,26196000,0.57834370139968895801,394531.914893617021
001,2024-03-03,1589200000,901300000,38,5,20342000,9125000,0.56714069972313113516,535315.789473684211
001,2024-03-06,1684500000,938700000,68,14,24567000,9789000,0.55725734639358860196,361279.411764705882
001,2024-03-09,1789500000,985600000,45,11,14567000,8123000,0.55076837105336686225,323711.111111111111
001,2024-03-11,1893200000,1056700000,82,24,28987000,10789000,0.55815550390872596662,353500.000000000000
002,2024-03-01,1975200000,1246800000,78,18,30468000,13086000,0.63122721749696233293,390615.384615384615
002,2024-03-10,1189200000,739000000,35,6,11234000,6012000,0.62142616885301042718,320971.428571428571
002,2024-03-12,1289400000,783400000,84,29,25987000,8567000,0.60756941212967271599,309369.047619047619
002,2024-03-06,1067800000,672300000,66,17,20123000,7256000,0.62961228694512080914,304893.939393939394
002,2024-03-05,1045600000,658900000,63,16,18932000,7103000,0.63016449885233358837,300507.936507936508
002,2024-03-11,1234500000,756800000,78,26,24567000,8234000,0.61304171729445119482,314961.538461538462
002,2024-03-08,1123400000,705600000,75,23,22567000,7568000,0.62809328823215239452,300893.333333333333
002,2024-03-07,1091200000,689000000,72,21,21345000,7412000,0.63141495601173020528,296458.333333333333
002,2024-03-04,1023400000,645600000,58,13,17895000,6956000,0.63083838186437365644,308534.482758620690
002,2024-03-02,992100000,0,42,7,15892000,6678000,0.0000000000000000000000000000,378380.952380952381
002,2024-03-09,1156700000,722300000,42,9,12345000,6456000,0.62444886314515431832,293928.571428571429
002,2024-03-03,1004500000,634500000,35,4,16543000,6812000,0.63165754106520657043,472657.142857142857
003,2024-03-08,2398700000,1501200000,102,28,39567000,14789000,0.62583899612289990411,387911.764705882353
003,2024-03-12,2634500000,1678900000,115,34,44567000,16789000,0.63727462516606566711,387539.130434782609
003,2024-03-04,2234500000,1389200000,78,17,34567000,13689000,0.62170507943611546207,443166.666666666667
003,2024-03-11,2567800000,1623400000,108,31,42345000,15678000,0.63221434691175325181,392083.333333333333
003,2024-03-02,2167800000,1352400000,61,9,31245000,13156000,0.62385828951010240797,512213.114754098361
003,2024-03-06,2314500000,1437800000,91,22,36890000,14234000,0.62121408511557571830,405384.615384615385
003,2024-03-09,2445600000,1534500000,58,15,21234000,11234000,0.62745338567222767419,366103.448275862069
003,2024-03-10,2498700000,1567800000,51,12,19876000,10567000,0.62744627206147196542,389725.490196078431
003,2024-03-03,2198700000,1367800000,49,6,32456000,13423000,0.62209487424387137854,662367.346938775510
003,2024-03-01,2145600000,1345600000,54,11,29876000,12894000,0.62714392244593586875,553259.259259259259
003,2024-03-07,2356700000,1468900000,97,25,38123000,14512000,0.62328679933805745322,393020.618556701031
003,2024-03-05,2278900000,1412300000,85,20,35678000,13956000,0.61972881653429286059,419741.176470588235
004,2024-03-09,1434500000,872300000,51,13,13456000,7234000,0.60808644126873475078,263843.137254901961
004,2024-03-01,1234500000,765400000,43,10,16789000,7234000,0.62000810044552450385,390441.860465116279
004,2024-03-05,1323400000,812300000,72,19,20987000,7854000,0.61379779356203717697,291486.111111111111
004,2024-03-10,1467800000,887900000,44,10,12345000,6789000,0.60491892628423490939,280568.181818181818
004,2024-03-03,1267800000,783400000,41,5,18345000,7543000,0.61792080769837513803,447439.024390243902
004,2024-03-11,1523400000,923400000,91,28,26789000,9456000,0.60614415124064592359,294384.615384615385
004,2024-03-06,1348900000,826700000,75,21,22123000,8012000,0.61286974571873378308,294973.333333333333
004,2024-03-04,1298700000,798900000,67,14,19876000,7698000,0.61515361515361515362,296656.716417910448
004,2024-03-08,1401200000,856700000,86,26,24789000,8345000,0.61140451041964030831,288244.186046511628
004,2024-03-02,1245600000,771200000,48,6,17543000,7389000,0.61913937058445728966,365479.166666666667
004,2024-03-12,1589500000,959800000,97,31,28987000,9890000,0.60383768480654293803,298835.051546391753
004,2024-03-07,1374500000,841200000,81,24,23456000,8178000,0.61200436522371771553,289580.246913580247
005,2024-03-06,941200000,604500000,62,18,16890000,6289000,0.64226519337016574586,272419.354838709677
005,2024-03-12,1091200000,712300000,81,30,22345000,7456000,0.65276759530791788856,275864.197530864198
005,2024-03-10,1018200000,666700000,32,8,10345000,4987000,0.65478295030445884895,323281.250000000000
005,2024-03-05,923400000,589000000,59,15,15678000,6156000,0.63786008230452674897,265728.813559322034
005,2024-03-07,959800000,620100000,68,22,18123000,6423000,0.64607209835382371327,266514.705882352941
005,2024-03-03,891200000,558900000,32,3,13456000,5912000,0.62713195691202872531,420500.000000000000
005,2024-03-08,978900000,635600000,71,25,19345000,6567000,0.64930023495760547553,272464.788732394366
005,2024-03-01,876500000,543200000,36,8,12345000,5678000,0.61973759269823160297,342916.666666666667
005,2024-03-09,998700000,651200000,39,11,11234000,5345000,0.65204766196054871333,288051.282051282051
005,2024-03-11,1056700000,689000000,75,27,20123000,7123000,0.65202990441941894577,268306.666666666667
005,2024-03-02,882100000,549800000,39,5,12987000,5793000,0.62328534179798208820,333000.000000000000
005,2024-03-04,905600000,573400000,54,11,14567000,6034000,0.63317137809187279152,269759.259259259259
006,2024-03-09,768900000,507800000,36,9,10345000,4234000,0.66042398231239432956,287361.111111111111
006,2024-03-02,663400000,418900000,31,4,10345000,4556000,0.63144407597226409406,333709.677419354839
006,2024-03-11,823400000,545600000,69,26,17895000,6234000,0.66261841146465873209,259347.826086956522
006,2024-03-07,734500000,479800000,59,20,15123000,5067000,0.65323349217154526889,256322.033898305085
006,2024-03-10,786700000,522300000,31,7,9456000,3987000,0.66391254607855599339,305032.258064516129
006,2024-03-01,654300000,412300000,29,7,9876000,4456000,0.63013907993275255999,340551.724137931034
006,2024-03-05,703400000,452100000,51,13,12894000,4852000,0.64273528575490474837,252823.529411764706
006,2024-03-03,672300000,427800000,27,2,10892000,4654000,0.63632307005800981705,403407.407407407407
006,2024-03-06,718900000,465400000,54,16,13987000,4956000,0.64737793851717902351,259018.518518518519
006,2024-03-04,689000000,439000000,46,9,11987000,4753000,0.63715529753265602322,260586.956521739130
006,2024-03-12,856700000,567800000,75,29,19234000,6789000,0.66277576747986459671,256453.333333333333
006,2024-03-08,751200000,493400000,64,23,16234000,5189000,0.65681576144834930777,253656.250000000000
007,2024-03-08,312300000,211200000,34,9,5890000,2789000,0.67627281460134486071,173235.294117647059
007,2024-03-05,278900000,186700000,25,6,4987000,2456000,0.66941556113302258874,199480.000000000000
007,2024-03-02,245600000,163400000,17,4,3890000,2145000,0.66530944625407166124,228823.529411764706
007,2024-03-09,323400000,220100000,25,5,4567000,2234000,0.68058132343846629561,182680.000000000000
007,2024-03-11,345600000,236700000,37,11,6234000,2897000,0.68489583333333333333,168486.486486486486
007,2024-03-06,289700000,194500000,28,7,5345000,2567000,0.67138419054193993787,190892.857142857143
007,2024-03-12,356700000,245600000,41,13,6789000,3123000,0.68853378188954303336,165585.365853658537
007,2024-03-07,301200000,203400000,31,8,5678000,2678000,0.67529880478087649402,183161.290322580645
007,2024-03-04,267800000,178900000,22,5,4567000,2345000,0.66803584764749813294,207590.909090909091
007,2024-03-01,234500000,156700000,15,3,3456000,1987000,0.66823027718550106610,230400.000000000000
007,2024-03-10,334500000,228900000,22,4,4123000,2012000,0.68430493273542600897,187409.090909090909
007,2024-03-03,256700000,171200000,19,2,4123000,2234000,0.66692637319828593689,217000.000000000000
008,2024-03-11,385600000,252300000,35,9,6890000,3123000,0.65430497925311203320,196857.142857142857
008,2024-03-08,348900000,225600000,32,7,6567000,3256000,0.64660361134995700774,205218.750000000000
008,2024-03-10,373400000,243400000,20,3,4789000,2234000,0.65184788430637386181,239450.000000000000
008,2024-03-07,336700000,216500000,29,6,6234000,3123000,0.64300564300564300564,214965.517241379310
008,2024-03-06,324500000,207800000,26,5,5890000,2987000,0.64036979969183359014,226538.461538461538
008,,312400000,198700000,21,4,5234000,2876000,0.63604353393085787452,249238.095238095238
008,2024-03-09,361200000,234500000,23,4,5123000,2456000,0.64922480620155038760,222739.130434782609
008,2024-03-12,397800000,261200000,39,11,7345000,3345000,0.65661136249371543489,188333.333333333333
009,,298700000,187600000,18,3,4876000,2654000,0.62805490458654168062,270888.888888888889
009,2024-03-07,325600000,205600000,26,5,5987000,2897000,0.63144963144963144963,230269.230769230769
009,2024-03-08,338900000,214500000,29,6,6234000,3012000,0.63293006786662732369,214965.517241379310
009,2024-03-10,365600000,232300000,18,2,4567000,2123000,0.63539387308533916849,253722.222222222222
009,2024-03-12,391200000,250100000,36,9,6890000,3234000,0.63931492842535787321,191388.888888888889
009,2024-03-06,312300000,196700000,23,4,5768000,2789000,0.62984309958373358950,250782.608695652174
009,2024-03-09,352300000,223400000,21,3,4890000,2345000,0.63411864887879648027,232857.142857142857
009,2024-03-11,378900000,241200000,32,7,6456000,3012000,0.63657957244655581948,201750.000000000000
010,2024-03-08,378900000,249800000,35,8,7123000,3489000,0.65927685405120084455,203514.285714285714
010,2024-03-05,345600000,223400000,24,5,5678000,3123000,0.64641203703703703704,236583.333333333333
010,2024-03-11,412300000,278900000,38,9,7345000,3567000,0.67644918748484113510,193289.473684210526
010,2024-03-09,390100000,259800000,27,5,6234000,2678000,0.66598308126121507306,230888.888888888889
010,2024-03-10,401200000,269800000,24,4,5890000,2456000,0.67248255234297108674,245416.666666666667
010,2024-03-07,367800000,240100000,32,7,6789000,3367000,0.65280043501903208265,212156.250000000000
010,2024-03-06,356700000,231200000,29,6,6234000,3245000,0.64816372301654051023,214965.517241379310
010,2024-03-12,423400000,287600000,42,11,7890000,3789000,0.67926310817194142655,187857.142857142857
011,2024-03-11,320100000,203400000,25,6,5234000,2456000,0.63542642924086223055,209360.000000000000
011,2024-03-10,309800000,194500000,15,2,4123000,1567000,0.62782440284054228535,274866.666666666667
011,2024-03-12,331200000,212300000,29,8,5678000,2678000,0.64100241545893719807,195793.103448275862
011,2024-03-08,287600000,176500000,22,4,5234000,2678000,0.61369958275382475661,237909.090909090909
011,2024-03-09,298700000,185600000,18,3,4567000,1890000,0.62135922330097087379,253722.222222222222
012,2024-03-12,289700000,174500000,27,7,4890000,2456000,0.60234725578184328616,181111.111111111111
012,2024-03-11,278900000,165400000,23,5,4567000,2234000,0.59304410182861240588,198565.217391304348
012,2024-03-10,267800000,156700000,14,3,3890000,1876000,0.58513816280806572069,277857.142857142857
013,2024-03-11,267800000,154300000,22,4,4456000,2123000,0.57617625093353248693,202545.454545454545
013,2024-03-10,256700000,145600000,13,2,3789000,1765000,0.56719906505648617063,291461.538461538462
013,2024-03-12,278900000,163400000,26,6,4789000,2345000,0.58587307278594478308,184192.307692307692
014,2024-03-11,256700000,143200000,21,4,4345000,2012000,0.55784962991819244254,206904.761904761905
014,2024-03-10,245600000,134500000,12,2,3678000,1654000,0.54763843648208469055,306500.000000000000
014,2024-03-12,267800000,152300000,25,6,4678000,2234000,0.56870799103808812547,187120.000000000000
015,2024-03-11,189000000,98760000,16,3,3123000,1456000,0.52253968253968253968,195187.500000000000
015,2024-03-12,198700000,105670000,20,5,3456000,1678000,0.53180674383492702567,172800.000000000000
016,2024-03-12,176500000,92340000,17,4,3123000,1456000,0.52317280453257790368,183705.882352941176

